t_ms,pan_deg,tilt_deg,nod_deg,pan_unit,tilt_unit,nod_unit,led
5667,25.0,-12.0,12.0,597,471,552,92
5700,25.0,-12.0,12.0,597,471,552,91
5733,25.0,-12.0,12.0,597,471,552,90
5767,25.0,-12.0,12.0,597,471,552,89
5800,25.0,-12.0,12.0,597,471,552,87
5833,25.0,-12.0,12.0,597,471,552,86
5867,25.0,-12.0,12.0,597,471,552,85
5900,25.0,-12.0,12.0,597,471,552,83
5933,25.0,-12.0,12.0,597,471,552,82
5967,25.0,-12.0,12.0,597,471,552,80
6000,25.0,-12.0,12.0,597,471,552,78
6033,25.0,-12.0,12.0,597,471,552,76
6067,25.0,-12.0,12.0,597,471,552,74
6100,25.0,-12.0,12.0,597,471,552,73
6133,25.0,-12.0,12.0,597,471,552,71
6167,25.0,-12.0,12.0,597,471,552,69
6200,25.0,-12.0,12.0,597,471,552,67
6233,25.0,-12.0,12.0,597,471,552,65
6267,25.0,-12.0,12.0,597,471,552,63
6300,25.0,-12.0,12.0,597,471,552,61
6333,25.0,-12.0,12.0,597,471,552,59
6367,25.0,-12.0,12.0,597,471,552,56
6400,25.0,-12.0,12.0,597,471,552,54
6433,25.0,-12.0,12.0,597,471,552,52
6467,25.0,-12.0,12.0,597,471,552,51
6500,25.0,-12.0,12.0,597,471,552,49
6533,25.0,-12.0,12.0,597,471,552,47
6567,25.0,-12.0,12.0,597,471,552,45
6600,25.0,-12.0,12.0,597,471,552,43
6633,25.0,-12.0,12.0,597,471,552,41
6667,25.0,-12.0,12.0,597,471,552,40
6700,25.0,-12.0,12.0,597,471,552,38
6733,25.0,-12.0,12.0,597,471,552,37
6767,25.0,-12.0,12.0,597,471,552,35
6800,25.0,-12.0,12.0,597,471,552,34
6833,25.0,-12.0,12.0,597,471,552,32
6867,25.0,-12.0,12.0,597,471,552,31
6900,25.0,-12.0,12.0,597,471,552,30
6933,25.0,-12.0,12.0,597,471,552,29
6967,25.0,-12.0,12.0,597,471,552,28
7000,25.0,-12.0,12.0,597,471,552,28
7033,25.0,-12.0,12.0,597,471,552,27
7067,25.0,-12.0,12.0,597,471,552,26
7100,25.0,-12.0,12.0,597,471,552,26
7133,25.0,-12.0,12.0,597,471,552,26
7167,25.0,-12.0,12.0,597,471,552,26
7200,25.0,-12.0,12.0,597,471,552,26
7233,25.0,-12.0,12.0,597,471,552,26
7267,25.0,-12.0,12.0,597,471,552,26
7300,25.0,-12.0,12.0,597,471,552,26
7333,25.0,-12.0,12.0,597,471,552,26
7367,25.0,-12.0,12.0,597,471,552,27
7400,25.0,-12.0,12.0,597,471,552,28
7433,25.0,-12.0,12.0,597,471,552,28
7467,25.0,-12.0,12.0,597,471,552,29
7500,25.0,-12.0,12.0,597,471,552,30
7533,25.0,-12.0,12.0,597,471,552,31
7567,25.0,-12.0,12.0,597,471,552,32
7600,25.0,-12.0,12.0,597,471,552,34
7633,25.0,-12.0,12.0,597,471,552,35
7667,25.0,-12.0,12.0,597,471,552,37
7700,25.0,-12.0,12.0,597,471,552,38
7733,25.0,-12.0,12.0,597,471,552,40
7767,25.0,-12.0,12.0,597,471,552,41
7800,25.0,-12.0,12.0,597,471,552,43
7833,25.0,-12.0,12.0,597,471,552,45
7867,25.0,-12.0,12.0,597,471,552,47
7900,25.0,-12.0,12.0,597,471,552,49
7933,25.0,-12.0,12.0,597,471,552,51
7967,25.0,-12.0,12.0,597,471,552,52
8000,25.0,-12.0,12.0,597,471,552,54
8033,25.0,-12.0,12.0,597,471,552,56
8067,25.0,-12.0,12.0,597,471,552,59
8100,25.0,-12.0,12.0,597,471,552,61
8133,25.0,-12.0,12.0,597,471,552,63
8167,25.0,-12.0,12.0,597,471,552,65
8200,25.0,-12.0,12.0,597,471,552,67
8233,25.0,-12.0,12.0,597,471,552,69
8267,25.0,-12.0,12.0,597,471,552,71
8300,25.0,-12.0,12.0,597,471,552,73
8333,25.0,-12.0,12.0,597,471,552,74
8367,25.0,-12.0,12.0,597,471,552,76
8400,25.0,-12.0,12.0,597,471,552,78
8433,25.0,-12.0,12.0,597,471,552,80
8467,25.0,-12.0,12.0,597,471,552,82
8500,25.0,-12.0,12.0,597,471,552,83
8533,25.0,-12.0,12.0,597,471,552,85
8567,25.0,-12.0,12.0,597,471,552,86
8600,25.0,-12.0,12.0,597,471,552,87
8633,25.0,-12.0,12.0,597,471,552,89
8667,25.0,-12.0,12.0,597,471,552,90
8700,25.0,-12.0,12.0,597,471,552,91
8733,25.0,-12.0,12.0,597,471,552,92
8767,25.0,-12.0,12.0,597,471,552,93
8800,25.0,-12.0,12.0,597,471,552,94
8833,25.0,-12.0,12.0,597,471,552,94
8867,25.0,-12.0,12.0,597,471,552,95
8900,25.0,-12.0,12.0,597,471,552,95
8933,25.0,-12.0,12.0,597,471,552,95
8967,25.0,-12.0,12.0,597,471,552,96
9000,25.0,-12.0,12.0,597,471,552,96
9033,25.0,-12.0,12.0,597,471,552,96
9067,25.0,-12.0,12.0,597,471,552,95
9100,25.0,-12.0,12.0,597,471,552,95
9133,25.0,-12.0,12.0,597,471,552,95
9167,25.0,-12.0,12.0,597,471,552,94
9200,25.0,-12.0,12.0,597,471,552,94
9233,25.0,-12.0,12.0,597,471,552,93
9267,25.0,-12.0,12.0,597,471,552,92
9300,25.0,-12.0,12.0,597,471,552,91
9333,25.0,-12.0,12.0,597,471,552,90
9367,25.0,-12.0,12.0,597,471,552,89
9400,25.0,-12.0,12.0,597,471,552,87
9433,25.0,-12.0,12.0,597,471,552,86
9467,25.0,-12.0,12.0,597,471,552,85
9500,25.0,-12.0,12.0,597,471,552,83
9533,25.0,-12.0,12.0,597,471,552,82
9567,25.0,-12.0,12.0,597,471,552,80
9600,25.0,-12.0,12.0,597,471,552,78
9633,25.0,-12.0,12.0,597,471,552,76
9667,25.0,-12.0,12.0,597,471,552,74
9700,25.0,-12.0,12.0,597,471,552,73
9733,25.0,-12.0,12.0,597,471,552,71
9767,25.0,-12.0,12.0,597,471,552,69
9800,25.0,-12.0,12.0,597,471,552,67
9833,25.0,-12.0,12.0,597,471,552,65
9867,25.0,-12.0,12.0,597,471,552,63
9900,25.0,-12.0,12.0,597,471,552,61
9933,25.0,-12.0,12.0,597,471,552,59
9967,25.0,-12.0,12.0,597,471,552,56
10000,25.0,-12.0,12.0,597,471,552,54
10033,25.0,-12.0,12.0,597,471,552,52
10067,25.0,-12.0,12.0,597,471,552,51
10100,25.0,-12.0,12.0,597,471,552,49
10133,25.0,-12.0,12.0,597,471,552,47
10167,25.0,-12.0,12.0,597,471,552,45
10200,25.0,-12.0,12.0,597,471,552,43
10233,25.0,-12.0,12.0,597,471,552,41
10267,25.0,-12.0,12.0,597,471,552,40
10300,25.0,-12.0,12.0,597,471,552,38
10333,25.0,-12.0,12.0,597,471,552,37
10367,25.0,-12.0,12.0,597,471,552,35
10400,25.0,-12.0,12.0,597,471,552,34
10433,25.0,-12.0,12.0,597,471,552,32
10467,25.0,-12.0,12.0,597,471,552,31
10500,25.0,-12.0,12.0,597,471,552,30
10533,25.0,-12.0,12.0,597,471,552,29
10567,25.0,-12.0,12.0,597,471,552,28
10600,25.0,-12.0,12.0,597,471,552,28
10633,25.0,-12.0,12.0,597,471,552,27
10667,25.0,-12.0,12.0,597,471,552,26
